¶mÂí¥«°Ï,¥æ©ö¼Ðªº,¤g¦a°Ï¬q¦ì¸m©Î«Øª«°ÏªùµP,¤g¦a²¾ÂàÁ`­±¿n¥­¤è¤½¤Ø,³£¥«¤g¦a¨Ï¥Î¤À°Ï,«D³£¥«¤g¦a¨Ï¥Î¤À°Ï,«D³£¥«¤g¦a¨Ï¥Î½s©w,¥æ©ö¦~¤ë,¥æ©öµ§´É¼Æ,²¾Âà¼h¦¸,Á`¼Ó¼h¼Æ,«Øª««¬ºA,¥D­n¥Î³~,¥D­n«Ø§÷,«Ø¿v§¹¦¨¦~¤ë,«Øª«²¾ÂàÁ`­±¿n¥­¤è¤½¤Ø,«Øª«²{ªp®æ§½-©Ð,«Øª«²{ªp®æ§½-ÆU,«Øª«²{ªp®æ§½-½Ã,«Øª«²{ªp®æ§½-¹j¶¡,¦³µLºÞ²z²ÕÂ´,Á`»ù¤¸,³æ»ù¨C¥­¤è¤½¤Ø,¨®¦ìÃþ§O,¨®¦ì²¾ÂàÁ`­±¿n¥­¤è¤½¤Ø,¨®¦ìÁ`»ù¤¸
¥_¤Ù°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,»O¤¤¥«¥_¤Ù°Ï¥­¼w¨½¤å¤ß¸ô¥|¬q251~300¸¹,10.62,¦í,,,10108,¤g¦a1«Øª«1¨®¦ì1,¤­¼h,022,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,1020725,113.39,2,1,2,¦³,¦³,6350000,57131,©Y¹D¾÷±ñ,13.62,650000
¥_¤Ù°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«¥_¤Ù°Ï¥­¼w¨½¤å¤ß¸ô¥|¬q251~300¸¹,5.92,¦í,,,10103,¤g¦a1«Øª«1¨®¦ì0,¤­¼h,022,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,1020725,63.68000000000001,1,1,1,¦³,¦³,3700000,58103,,0.0,0
¥_¤Ù°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,»O¤¤¥«¥_¤Ù°Ï¥­¼w¨½¤å¤ß¸ô¥|¬q251~300¸¹,9.74,¦í,,,10109,¤g¦a1«Øª«1¨®¦ì1,¤­¼h,022,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,1020725,107.75,2,1,2,¦³,¦³,6330000,60342,©Y¹D¾÷±ñ,13.62,650000
¥_¤Ù°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,»O¤¤¥«¥_¤Ù°Ï¥­¼w¨½¤å¤ß¸ô¥|¬q251~300¸¹,11.8,¦í,,,10104,¤g¦a1«Øª«1¨®¦ì1,¤­¼h,022,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,1020725,140.73000000000002,2,1,2,¦³,¦³,7350000,55947,©Y¹D¥­­±,27.23,1000000
¥_¤Ù°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,»O¤¤¥«¥_¤Ù°Ï¥­¼w¨½¤å¤ß¸ô¥|¬q251~300¸¹,9.66,¦í,,,10104,¤g¦a1«Øª«1¨®¦ì1,¤­¼h,022,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,1020725,105.93,2,1,2,¦³,¦³,6150000,59582,©Y¹D¾÷±ñ,13.62,650000
¥_¤Ù°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,»O¤¤¥«¥_¤Ù°Ï¥­¼w¨½¤å¤ß¸ô¥|¬q251~300¸¹,10.16,¦í,,,10105,¤g¦a1«Øª«1¨®¦ì1,¤»¼h,022,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,1020725,119.55,2,1,2,¦³,¦³,7600000,70407,©Y¹D¥­­±,27.23,1100000
¥_¤Ù°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,»O¤¤¥«¥_¤Ù°Ï¥­¼w¨½¤å¤ß¸ô¥|¬q251~300¸¹,11.8,¦í,,,10111,¤g¦a1«Øª«1¨®¦ì1,¤»¼h,022,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,1020725,140.67000000000002,2,1,2,¦³,¦³,8030000,58445,©Y¹D¥­­±,27.23,1400000
¥_¤Ù°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«¥_¤Ù°Ï¥­¼w¨½¤å¤ß¸ô¥|¬q251~300¸¹,5.92,¦í,,,10103,¤g¦a1«Øª«1¨®¦ì0,¤»¼h,022,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,1020725,63.68000000000001,1,1,1,¦³,¦³,4200000,65955,,0.0,0
¥_¤Ù°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«¥_¤Ù°Ï¥­¼w¨½¤å¤ß¸ô¥|¬q251~300¸¹,5.84,¦í,,,10106,¤g¦a1«Øª«1¨®¦ì0,¤»¼h,022,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,1020725,62.95,1,1,1,¦³,¦³,4430000,70373,,0.0,0
¥_¤Ù°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«¥_¤Ù°Ï¥­¼w¨½¤å¤ß¸ô¥|¬q251~300¸¹,5.84,¦í,,,10104,¤g¦a1«Øª«1¨®¦ì0,¤»¼h,022,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,1020725,63.43000000000001,1,1,1,¦³,¦³,4330000,68264,,0.0,0
¥_¤Ù°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,»O¤¤¥«¥_¤Ù°Ï¥­¼w¨½¤å¤ß¸ô¥|¬q251~300¸¹,10.08,¦í,,,10110,¤g¦a1«Øª«1¨®¦ì1,¤»¼h,022,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,1020725,111.14,2,1,2,¦³,¦³,6600000,58962,©Y¹D¾÷±ñ,13.62,850000
¥_¤Ù°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,»O¤¤¥«¥_¤Ù°Ï¥­¼w¨½¤å¤ß¸ô¥|¬q251~300¸¹,10.58,¦í,,,10109,¤g¦a1«Øª«1¨®¦ì1,¤»¼h,022,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,1020725,124.76,2,1,2,¦³,¦³,8000000,69722,©Y¹D¥­­±,27.23,1200000
¥_¤Ù°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,»O¤¤¥«¥_¤Ù°Ï¥­¼w¨½¤å¤ß¸ô¥|¬q251~300¸¹,6.84,¦í,,,10104,¤g¦a1«Øª«1¨®¦ì1,¤»¼h,022,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,1020725,90.66,1,1,1,¦³,¦³,5450000,68580,©Y¹D¥­­±,27.23,1100000
¥_¤Ù°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,»O¤¤¥«¥_¤Ù°Ï¥­¼w¨½¤å¤ß¸ô¥|¬q251~300¸¹,6.84,¦í,,,10105,¤g¦a1«Øª«1¨®¦ì2,¤»¼h,022,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,1020725,90.18,1,1,1,¦³,¦³,5170000,59898,©Y¹D¾÷±ñ,27.24,1400000
¥_¤Ù°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,»O¤¤¥«¥_¤Ù°Ï¥­¼w¨½¤å¤ß¸ô¥|¬q251~300¸¹,10.25,¦í,,,10110,¤g¦a1«Øª«1¨®¦ì1,¤»¼h,022,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,1020725,121.37,2,1,2,¦³,¦³,7000000,61610,©Y¹D¥­­±,27.23,1200000
¥_¤Ù°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,»O¤¤¥«¥_¤Ù°Ï¥­¼w¨½¤å¤ß¸ô¥|¬q251~300¸¹,11.8,¦í,,,10106,¤g¦a1«Øª«1¨®¦ì1,¤»¼h,022,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,1020725,140.67000000000002,2,1,2,¦³,¦³,9000000,69640,©Y¹D¥­­±,27.23,1100000
¥_¤Ù°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«¥_¤Ù°Ï¥­¼w¨½¤å¤ß¸ô¥|¬q251~300¸¹,9.78,¦í,,,10111,¤g¦a1«Øª«1¨®¦ì0,¤»¼h,022,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,1020725,99.59,2,1,2,¦³,¦³,5850000,58741,,0.0,0
¥_¤Ù°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,»O¤¤¥«¥_¤Ù°Ï¥­¼w¨½¤å¤ß¸ô¥|¬q251~300¸¹,9.66,¦í,,,10104,¤g¦a1«Øª«1¨®¦ì1,¤»¼h,022,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,1020725,105.93,2,1,2,¦³,¦³,7050000,69332,©Y¹D¾÷±ñ,13.62,650000
¥_¤Ù°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,»O¤¤¥«¥_¤Ù°Ï¥­¼w¨½¤å¤ß¸ô¥|¬q251~300¸¹,10.5,¦í,,,10109,¤g¦a1«Øª«1¨®¦ì1,¤»¼h,022,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,1020725,125.14000000000001,2,1,2,¦³,¦³,6720000,56378,©Y¹D¥­­±,27.23,1200000
¥_¤Ù°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,»O¤¤¥«¥_¤Ù°Ï¥­¼w¨½¤å¤ß¸ô¥|¬q251~300¸¹,10.5,¦í,,,10104,¤g¦a1«Øª«1¨®¦ì1,¤C¼h,022,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,1020725,125.14000000000001,2,1,2,¦³,¦³,7050000,59749,©Y¹D¥­­±,27.23,1200000
¥_¤Ù°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«¥_¤Ù°Ï¥­¼w¨½¤å¤ß¸ô¥|¬q251~300¸¹,9.24,¦í,,,10109,¤g¦a1«Øª«1¨®¦ì0,¤C¼h,022,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,1020725,93.34,2,1,2,¦³,¦³,5540000,59353,,0.0,0
¥_¤Ù°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,»O¤¤¥«¥_¤Ù°Ï¥­¼w¨½¤å¤ß¸ô¥|¬q251~300¸¹,11.3,¦í,,,10104,¤g¦a1«Øª«1¨®¦ì1,¤C¼h,022,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,1020725,127.11,2,1,2,¦³,¦³,8800000,70931,©Y¹D¾÷±ñ,13.62,750000
¥_¤Ù°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«¥_¤Ù°Ï¥­¼w¨½¤å¤ß¸ô¥|¬q251~300¸¹,9.24,¦í,,,10108,¤g¦a1«Øª«1¨®¦ì0,¤C¼h,022,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,1020725,94.14,2,1,2,¦³,¦³,5680000,60336,,0.0,0
¥_¤Ù°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«¥_¤Ù°Ï¥­¼w¨½¤å¤ß¸ô¥|¬q251~300¸¹,5.92,¦í,,,10103,¤g¦a1«Øª«1¨®¦ì0,¤C¼h,022,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,1020725,63.68000000000001,1,1,1,¦³,¦³,4230000,66426,,0.0,0
¥_¤Ù°Ï,¤g¦a,¤j¶Q¬q801~850¦a¸¹,649.45,¨ä¥L,,,10211,¤g¦a2«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,10215800,15730,,0.0,0
¥_¤Ù°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«¥_¤Ù°Ï¤Ó©M¤@µó1~50¸¹,85.09,¦í,,,10211,¤g¦a2«Øª«1¨®¦ì0,¥þ,003,³z¤Ñ­í,¨£¨ä¥Lµn°O¨Æ¶µ,¿ûµ¬²V¾®¤g³y,1011205,239.0,4,2,4,¦³,µL,13500000,56485,,0.0,0
¥_°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«¥_°Ï¶i¤Æ¥_¸ô351~400¸¹,197.8,°Ó,,,10210,¤g¦a1«Øª«4¨®¦ì0,¦a¤U¤@¼h,012,¿ì¤½°Ó·~¤j¼Ó,°Ó·~¥Î,¿ûµ¬²V¾®¤g³y,0851015,1824.0,0,0,0,µL,¦³,60066000,32931,,0.0,0
¥_¤Ù°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«¥_¤Ù°Ï©M¶¶¸ô251~300¸¹,133.99,¦í,,,10208,¤g¦a1«Øª«1¨®¦ì0,¥þ,004,³z¤Ñ­í,¨£¨ä¥Lµn°O¨Æ¶µ,¿ûµ¬²V¾®¤g³y,1020116,255.23,6,2,6,¦³,µL,19680000,77107,,0.0,0
¥_¤Ù°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,»O¤¤¥«¥_¤Ù°Ï±R¼w¤»¸ô¤@¬q101~150¸¹,20.01,¦í,,,10210,¤g¦a1«Øª«1¨®¦ì1,¤@¼h¡A¤G¼h,011,©±­±(©±¾Q),¦í°Ó¥Î,¿ûµ¬²V¾®¤g³y,0841229,122.52,0,0,0,µL,¦³,5300000,43258,©Y¹D¥­­±,0.0,0
¥_¤Ù°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«¥_¤Ù°Ï¤EÀsµó51~100¸¹,16.06,°Ó,,,10211,¤g¦a1«Øª«1¨®¦ì0,¤T¼h,009,µØ·H(10¼h§t¥H¤U¦³¹q±è),¨£¨ä¥Lµn°O¨Æ¶µ,¿ûµ¬²V¾®¤g³y,0880430,125.28999999999999,3,2,2,¦³,¦³,5100000,40706,,0.0,0
¥_°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,»O¤¤¥«¥_°Ï±ö¤t¦è¸ô¥|¬q101~150¸¹,12.97,¦í,,,10210,¤g¦a1«Øª«2¨®¦ì1,¤Q¤@¼h,017,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0831122,157.49,3,2,2,¦³,¦³,6650000,42225,©Y¹D¥­­±,0.0,0
¥_°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«¥_°Ï±ö¤t¦è¸ô¥|¬q151~200¸¹,9.08,¦í,,,10210,¤g¦a1«Øª«1¨®¦ì0,¤@¼h,017,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í°Ó¥Î,¿ûµ¬²V¾®¤g³y,0831122,51.730000000000004,3,2,2,¦³,¦³,2400000,46395,,0.0,0
¥_¤Ù°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«¥_¤Ù°Ï¤Ñ¬z¸ô¥|¬q251~300¸¹,88.0,¦í,,,10211,¤g¦a1«Øª«1¨®¦ì0,¥þ,003,³z¤Ñ­í,¦í°Ó¥Î,¿ûµ¬²V¾®¤g³y,0740402,236.45,4,3,3,¦³,µL,16000000,67668,,0.0,0
¥_°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«¥_°Ï¤å©÷ªF¤@µó101~150¸¹,10.83,¦í,,,10210,¤g¦a1«Øª«1¨®¦ì0,¤G¼h,014,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0890219,94.87,3,2,2,¦³,¦³,3720000,39212,,0.0,0
¥_°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«¥_°Ï¤­¶¶µó151~200¸¹,27.27,¦í,,,10211,¤g¦a1«Øª«1¨®¦ì0,¥|¼h,005,¤½´J(5¼Ó§t¥H¤UµL¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0740722,111.11999999999999,4,0,4,¦³,µL,4020000,36177,,0.0,0
¥_°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«¥_°Ï¤Ó¥­¸ô101~150¸¹,4.91,¦í,,,10211,¤g¦a2«Øª«1¨®¦ì0,¤T¼h,014,®M©Ð(1©Ð1ÆU1½Ã),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0820831,39.68,1,0,1,¦³,¦³,1050000,26462,,0.0,0
¥_¤Ù°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«¥_¤Ù°Ï¥_¤Ù¸ô401~450¸¹,8.33,¦í,,,10210,¤g¦a2«Øª«1¨®¦ì0,¤Q¤C¼h,017,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0831108,99.94000000000001,3,1,1,¦³,¦³,4760000,47629,,0.0,0
¥_¤Ù°Ï,¤g¦a,¿à­í‚»¬q1~50¦a¸¹,268.68,¨ä¥L,,,10211,¤g¦a4«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,11994764,44643,,0.0,0
¥_°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«¥_°Ï¥_¤Ù¸ô1~50¸¹,7.06,¦í,,,10211,¤g¦a3«Øª«1¨®¦ì0,¤K¼h,010,®M©Ð(1©Ð1ÆU1½Ã),°Ó·~¥Î,¿û°©²V¾®¤g³y,0691021,33.55,1,0,1,¦³,µL,1250000,37258,,0.0,0
¥_°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«¥_°Ï½Ã¹D¸ô79«Ñ1~50¸¹,61.0,¦í,,,10211,¤g¦a1«Øª«1¨®¦ì0,¥þ,002,³z¤Ñ­í,¦í®a¥Î,¿ûµ¬²V¾®¤g¥[±j¿j³y,0590615,89.6,4,2,2,¦³,µL,4500000,50223,,0.0,0
¥_°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«¥_°Ï¨|±jµó101~150¸¹,35.7,¦í,,,10211,¤g¦a1«Øª«1¨®¦ì0,¤»¼h,007,µØ·H(10¼h§t¥H¤U¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0711016,194.97,3,2,2,¦³,¦³,5500000,28209,,0.0,0
¥_¤Ù°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,»O¤¤¥«¥_¤Ù°Ï±R¼w¸ô¤G¬q1~50¸¹,18.3,°Ó,,,10211,¤g¦a1«Øª«1¨®¦ì1,¤E¼h,025,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¿û°©²V¾®¤g³y,0811126,233.47,4,2,2,¦³,¦³,8600000,36836,©Y¹D¾÷±ñ,0.0,0
¥_¤Ù°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«¥_¤Ù°Ï©÷¥­¸ô¤G¬q31«Ñ1~50¸¹,120.82,¦í,,,10208,¤g¦a2«Øª«1¨®¦ì0,¥þ,004,³z¤Ñ­í,¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0780727,237.83,4,2,3,¦³,µL,6900000,29012,,0.0,0
¥_°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«¥_°ÏÀA¬w¨½°ê®õµó75«Ñ1~50¸¹,90.0,¦í,,,10210,¤g¦a1«Øª«1¨®¦ì0,¥þ,002,³z¤Ñ­í,¦í®a¥Î,¿ûµ¬²V¾®¤g¥[±j¿j³y,0591030,87.15,3,1,1,¦³,µL,2932700,33651,,0.0,0
¥_°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«¥_°Ï¥_¥­¸ô¤G¬q1~50¸¹,80.0,¦í,,,10211,¤g¦a1«Øª«1¨®¦ì0,¥þ,003,³z¤Ñ­í,¦í°Ó¥Î,¿ûµ¬²V¾®¤g³y,0721114,206.44,5,2,3,¦³,µL,24000000,116257,,0.0,0
¥_°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«¥_°Ï³»­í¨½±R¼w¸ô¤@¬q503«Ñ1~50¸¹,65.0,¦í,,,10211,¤g¦a2«Øª«1¨®¦ì0,¥þ,001,³z¤Ñ­í,¦í®a¥Î,¿j³y,0561020,42.36,1,1,1,¦³,µL,3200000,75543,,0.0,0
¥_°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,»O¤¤¥«¥_°Ï¤j¤¯µó51~100¸¹,14.01,°Ó,,,10210,¤g¦a1«Øª«1¨®¦ì1,¥|¼h,008,µØ·H(10¼h§t¥H¤U¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0960409,94.71000000000001,2,2,1,¦³,¦³,6000000,63351,©Y¹D¾÷±ñ,16.53,0
¥_¤Ù°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,»O¤¤¥«¥_¤Ù°Ï¤¤²M¸ô51~100¸¹,9.0,¦í,,,10210,¤g¦a1«Øª«1¨®¦ì1,¤­¼h,016,®M©Ð(1©Ð1ÆU1½Ã),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0811020,106.38000000000001,1,1,1,¦³,¦³,4000000,37601,©Y¹D¥­­±,17.92,0
¥_¤Ù°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«¥_¤Ù°Ï¤¤²M¸ô51~100¸¹,7.61,¦í,,,10210,¤g¦a1«Øª«1¨®¦ì0,¤­¼h,016,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0811020,88.46,3,1,1,¦³,¦³,3300000,37305,,0.0,0
¥_°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«¥_°Ï°·¦æ¸ô766«Ñ51~100¸¹,24.4,¦í,,,10211,¤g¦a1«Øª«1¨®¦ì0,¤G¼h,005,¤½´J(5¼Ó§t¥H¤UµL¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0710223,77.81,3,2,2,¦³,µL,2700000,34700,,0.0,0
¥_¤Ù°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«¥_¤Ù°ÏÂn¶§¸ô¤G¬q151~200¸¹,11.6,¦í,,,10210,¤g¦a1«Øª«1¨®¦ì0,¥|¼h,014,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0961231,95.34,2,2,1,¦³,¦³,6670000,69960,,0.0,0
¥_°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«¥_°ÏµØ¿³µó117«Ñ1~50¸¹,4.7,¦í,,,10211,¤g¦a1«Øª«1¨®¦ì0,¤»¼h,007,®M©Ð(1©Ð1ÆU1½Ã),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0831114,18.75,0,0,0,µL,µL,950000,50667,,0.0,0
¥_°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,»O¤¤¥«¥_°Ï¤­Åv¸ô351~400¸¹,10.14,°Ó,,,10211,¤g¦a2«Øª«1¨®¦ì1,¤K¼h,014,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0980908,80.44,3,2,2,¦³,¦³,9360000,116360,©Y¹D¥­­±,0.0,0
¥_¤Ù°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,»O¤¤¥«¥_¤Ù°Ï¤j³s¸ô¤T¬q201~250¸¹,24.16,¦í,,,10211,¤g¦a1«Øª«1¨®¦ì1,¤E¼h,009,µØ·H(10¼h§t¥H¤U¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0830330,155.51,4,2,2,¦³,¦³,6500000,41798,©Y¹D¥­­±,0.0,0
¥_¤Ù°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,»O¤¤¥«¥_¤Ù°Ï²»¶¶¤Tµó1~50¸¹,81.76,¦í,,,10210,¤g¦a2«Øª«1¨®¦ì1,¥þ,003,³z¤Ñ­í,¨£¨ä¥Lµn°O¨Æ¶µ,¿ûµ¬²V¾®¤g³y,1010410,200.86999999999998,3,3,3,¦³,¦³,13000000,64718,©Y¹D¥­­±,0.0,0
¥_°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«¥_°Ï¤Ó­ì¸ô¤T¬q61«Ñ1~50¸¹,23.12,¦í,,,10210,¤g¦a1«Øª«1¨®¦ì0,¤G¼h,005,¤½´J(5¼Ó§t¥H¤UµL¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0710925,87.01,3,2,2,¦³,µL,3220000,37007,,0.0,0
ªF°Ï,¤g¦a,§ò·Ë¬q301~350¦a¸¹,96.34,¦í,,,10209,¤g¦a4«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,4590300,47647,,0.0,0
¦è°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«¦è°Ï¤­Åv¸ô1~50¸¹,643.0,¦í,,,10210,¤g¦a2«Øª«1¨®¦ì0,¥þ,002,³z¤Ñ­í,¦í°Ó¥Î,¥[±j¿j³y,0740504,395.1,0,0,0,µL,µL,121567000,307687,,0.0,0
ªF°Ï,¤g¦a,ªF¶Õ¤l¬q1~50¦a¸¹,205.75,¨ä¥L,,,10211,¤g¦a2«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,6523840,31708,,0.0,0
«n°Ï,¤g¦a,³»¾ô¤lÀY¬q51~100¦a¸¹,7.56,¨ä¥L,,,10210,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,380000,50265,,0.0,0
ªF°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«ªF°Ï¦Û¥Ñ¸ô¥|¬q301~350¸¹,9.45,¦í,,,10210,¤g¦a2«Øª«1¨®¦ì0,¤­¼h,009,µØ·H(10¼h§t¥H¤U¦³¹q±è),¨£¨ä¥Lµn°O¨Æ¶µ,¿ûµ¬²V¾®¤g³y,0830301,86.9,2,1,1,¦³,¦³,2680000,30840,,0.0,0
